Date,"5 YR","7 YR","10 YR","20 YR","30 YR"
03/23/2023,1.13,1.15,1.19,1.33,1.43
03/22/2023,1.23,1.21,1.20,1.32,1.43
03/21/2023,1.48,1.40,1.36,1.43,1.52
03/20/2023,1.42,1.36,1.33,1.42,1.51
03/17/2023,1.34,1.31,1.29,1.40,1.50
03/16/2023,1.46,1.39,1.34,1.40,1.48
03/15/2023,1.26,1.24,1.22,1.33,1.44
03/14/2023,1.43,1.37,1.33,1.41,1.49
03/13/2023,1.42,1.35,1.31,1.38,1.46
03/10/2023,1.62,1.51,1.44,1.42,1.45
03/09/2023,1.79,1.70,1.63,1.61,1.63
03/08/2023,1.87,1.74,1.66,1.61,1.62
03/07/2023,1.77,1.66,1.59,1.55,1.56
03/06/2023,1.57,1.52,1.49,1.50,1.54
03/03/2023,1.55,1.49,1.45,1.46,1.49
03/02/2023,1.67,1.63,1.60,1.61,1.63
03/01/2023,1.68,1.62,1.57,1.58,1.60
02/28/2023,1.60,1.54,1.49,1.52,1.57
02/27/2023,1.68,1.61,1.56,1.57,1.61
02/24/2023,1.72,1.63,1.57,1.57,1.61
02/23/2023,1.59,1.53,1.49,1.51,1.55
02/22/2023,1.61,1.56,1.52,1.54,1.58
02/21/2023,1.58,1.55,1.53,1.56,1.60
02/17/2023,1.53,1.49,1.46,1.50,1.54
02/16/2023,1.54,1.51,1.49,1.52,1.57
02/15/2023,1.53,1.49,1.46,1.49,1.54
02/14/2023,1.55,1.49,1.46,1.49,1.53
02/13/2023,1.49,1.44,1.41,1.46,1.51
02/10/2023,1.46,1.43,1.41,1.47,1.53
02/09/2023,1.42,1.38,1.34,1.41,1.47
02/08/2023,1.36,1.32,1.29,1.35,1.41
02/07/2023,1.45,1.40,1.36,1.41,1.47
02/06/2023,1.48,1.42,1.38,1.42,1.47
02/03/2023,1.40,1.34,1.31,1.38,1.46
02/02/2023,1.23,1.20,1.18,1.28,1.38
02/01/2023,1.19,1.16,1.14,1.24,1.33
01/31/2023,1.36,1.31,1.28,1.36,1.43
01/30/2023,1.38,1.31,1.26,1.32,1.39
01/27/2023,1.29,1.23,1.19,1.26,1.33
01/26/2023,1.26,1.20,1.16,1.23,1.30
01/25/2023,1.26,1.21,1.17,1.25,1.33
01/24/2023,1.29,1.23,1.19,1.26,1.34
